sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_52,0.007550456655752507,0.0034054125547466375,0.035284662781950055,0.0021125782117909155,0.004865736069761297,0.0013627381351657593,0,0,0
female_53,0.007409358975481881,0.003423345398742359,0.03531119759435453,0.0022954544460362034,0.00498984072493733,0.0014664736465514752,0,0,0
female_54,0.007277624293727995,0.0034448028028150725,0.03524076993188468,0.0024820175894916443,0.005111251958478662,0.001578078638665471,0,0,0
female_55,0.007164818955905686,0.0034679397695048125,0.035140961226652036,0.002681068107646807,0.005240328663350391,0.001699127020576637,0,0,0
female_56,0.007066766782491354,0.003497118525335282,0.035037833996423455,0.0028932061522893753,0.005381225687558076,0.0018296275758948007,0,0,0
female_57,0.006988418104321877,0.0035247058881655046,0.034956193924586876,0.0031149150500764285,0.005521221066413172,0.001969423328387357,0,0,0
female_58,0.006928688458358276,0.0035549206338114057,0.03493573030624679,0.0033544175208931482,0.005653459916809476,0.0021238915145126453,0,0,0
female_59,0.006893539802187812,0.0035860304380640868,0.03501131782026604,0.003609513387697459,0.005758904254638099,0.0022893461978791972,0,0,0
female_60,0.006883951913838065,0.0036220640792881363,0.03521809879458544,0.0038871897422406098,0.005835731536266608,0.002470878900265026,0,0,0
female_61,0.006897418049879493,0.0036592872074808786,0.03551600294320846,0.004188922261347001,0.005892221992437378,0.0026667920781267445,0,0,0
female_62,0.006937700297437612,0.0036994098117313586,0.03595681194560206,0.004528893419326035,0.005901076945692977,0.00287855652309569,0,0,0
female_63,0.00700594683931559,0.0037431594333907046,0.03662349755807896,0.004900735886358688,0.005869772227674921,0.0031089919481990407,0,0,0
female_64,0.007101885320573991,0.003790554315340966,0.03751068461847322,0.005310380258142547,0.005778441997383283,0.0033568375824179304,0,0,0
female_65,0.007245421853760956,0.0038436769123716087,0.0386148127531232,0.005771317558503423,0.005635497903435378,0.0036243531390503765,0,0,0
female_66,0.007423431812007879,0.00390698550475331,0.03992954884244175,0.006290973370845875,0.00543258922604962,0.003913601934461166,0,0,0
female_67,0.007635900377710641,0.0039772210066818916,0.04150353379233512,0.00688167356537825,0.005175332474509419,0.004229537781734674,0,0,0
female_68,0.007891315206167617,0.00406019386925089,0.04336404000364411,0.007520786128452852,0.0048695030869641606,0.004570142334206254,0,0,0
female_69,0.008194619853752132,0.004163239562354468,0.04552388550463567,0.008234147043674719,0.004532979642342517,0.004941832557211566,0,0,0
female_70,0.008553585888911416,0.004285333104626728,0.04800616992451008,0.009041431889475243,0.004155638005846093,0.005344233304394816,0,0,0
female_71,0.008980097055296673,0.004430183787389571,0.050867347097031904,0.009930920724092199,0.003757208131920678,0.005779390443938345,0,0,0
female_72,0.009483566845225722,0.004603942333480691,0.05416946293803075,0.010928936917600371,0.003354756636438234,0.006247025060223401,0,0,0
female_73,0.010038456250257382,0.004821713798079145,0.057858136410110075,0.0120070174057391,0.002969307523463657,0.006756915574604909,0,0,0
female_74,0.010708676333222096,0.005074825659361052,0.06194896081742085,0.013181131285491888,0.002598908528781799,0.007301457895974388,0,0,0
female_75,0.011448850129607741,0.005377317437657126,0.06660558313106496,0.014424731212619512,0.0022531222457644736,0.007890699058878504,0,0,0
female_76,0.012327793519354147,0.0057298069482701365,0.07182050692218772,0.01575353033604982,0.0019454159983383328,0.008535235217035206,0,0,0
female_77,0.013303033050159657,0.0061364983605491814,0.07761022727977344,0.017162620991213788,0.0016718757654245657,0.009234287928747247,0,0,0
female_78,0.014419109356476001,0.006616032694445842,0.08408676025149159,0.018601475927841955,0.0014375446872526916,0.009988425530556361,0,0,0
female_79,0.015673440404486247,0.007169000880728731,0.09135440662232405,0.0200289218433516,0.001232642211896247,0.010798750791083497,0,0,0
female_80,0.017082903948084996,0.007788463377890853,0.09961063407322504,0.021466639182573667,0.0010594195066253899,0.011675803132681439,0,0,0
female_81,0.018626932360324075,0.008501623894609194,0.10893251239739468,0.022898820990673086,9.147340025654071e-4,0.012619725926296677,0,0,0
female_82,0.02032716887900758,0.009277099064731184,0.11938367622535387,0.024277741222692946,7.915767803322105e-4,0.013650893772084755,0,0,0
female_83,0.02215258824490804,0.010136439649422974,0.1310874780337798,0.025586712877804424,6.910486386346229e-4,0.014760700636094127,0,0,0
female_84,0.024174929488800755,0.01107832035834677,0.14453303062439654,0.026836157328986435,6.085270601122223e-4,0.015961736514697802,0,0,0
female_85,0.026306211350811626,0.012087086267648888,0.15977127033537453,0.027955884765919224,5.396613674672282e-4,0.017252891986428785,0,0,0
female_86,0.02856176989835564,0.013148562474367052,0.17724376751543597,0.028956011601172303,4.8420387820418147e-4,0.018658832819701276,0,0,0
female_87,0.030938803160620053,0.01422552608336167,0.1977047269350209,0.029827530445958615,4.3780379776104696e-4,0.020165895147217477,0,0,0
female_88,0.03343243359066965,0.015333109855017948,0.220917409500117,0.03060206038522661,4.00757273251241e-4,0.02181242183484481,0,0,0
